REF DU MUSEE,NOM DU MUSEE,Année,REGION,VILLE,PAYANT,GRATUIT,TOTAL,ID MUSEOFILE,NOMDEP,Identifiant Muséofile,Adresse,Code Postal,URL,Latitude,Longitude,geolocalisation
7510517,Musée de l'Assistance Publique - Hôpitaux de Paris,2019,ILE-DE-France,PARIS,612,288,900,M1076,PARIS,M1076,10 rue des Fossés-Saint-Marcel,75005,www.aphp.fr/musee,48.838805,2.356007,"48.838805, 2.356007"
7510517,Musée de l'Assistance Publique - Hôpitaux de Paris,2020,ILE-DE-France,PARIS,44,0,44,M1076,PARIS,M1076,10 rue des Fossés-Saint-Marcel,75005,www.aphp.fr/musee,48.838805,2.356007,"48.838805, 2.356007"
7511403,Musée d'Art et d'Histoire de l'Hôpital Sainte-Anne,2019,ILE-DE-France,PARIS,0,9660,9660,M1202,PARIS,M1202,1 rue Cabanis,75014,musee-mahhsa.com,48.830264,2.340376,"48.830264, 2.340376"
7511403,Musée d'Art et d'Histoire de l'Hôpital Sainte-Anne,2020,ILE-DE-France,PARIS,1251,2140,3391,M1202,PARIS,M1202,1 rue Cabanis,75014,musee-mahhsa.com,48.830264,2.340376,"48.830264, 2.340376"
7511606,Musée des Monuments Français - CAPA,2019,ILE-DE-France,PARIS,99019,124902,223921,M5042,PARIS,M5042,1 place du Trocadéro,75016,www.citedelarchitecture.fr/fr/article/le-musee-des-monuments-francais,48.862323,2.281879,"48.862323, 2.281879"
7511606,Musée des Monuments Français - CAPA,2020,ILE-DE-France,PARIS,51963,65900,117863,M5042,PARIS,M5042,1 place du Trocadéro,75016,www.citedelarchitecture.fr/fr/article/le-musee-des-monuments-francais,48.862323,2.281879,"48.862323, 2.281879"
7510301,Musée de la Chasse et de la Nature,2019,ILE-DE-France,PARIS,21331,32373,53704,M0363,PARIS,M0363,62 rue des Archives,75003,www.chassenature.org/,48.861491,2.358608,"48.861491, 2.358608"
7510303,Musée d'Art et d'Histoire du Judaïsme,2019,ILE-DE-France,PARIS,74587,50273,124860,M0364,PARIS,M0364,"71, rue du Temple",75003,www.mahj.org/,48.86095,2.355608,"48.86095, 2.355608"
7510303,Musée d'Art et d'Histoire du Judaïsme,2020,ILE-DE-France,PARIS,19357,22828,42185,M0364,PARIS,M0364,"71, rue du Temple",75003,www.mahj.org/,48.86095,2.355608,"48.86095, 2.355608"
7510508,Muséum National d'Histoire Naturelle,2020,ILE-DE-France,PARIS,60139,86541,146680,M7003,PARIS,M7003,"2, rue Buffon",75005,www.mnhn.fr/fr/collections/ensembles-collections/vertebres/anatomie-comparee,48.842168,2.359933,"48.842168, 2.359933"
7510508,Galerie d'Anatomie Comparée et de Paléontologie (Muséum d'Histoire Naturelle),2019,ILE-DE-France,PARIS,169638,203193,372831,M7003,PARIS,M7003,"2, rue Buffon",75005,www.mnhn.fr/fr/collections/ensembles-collections/vertebres/anatomie-comparee,48.842168,2.359933,"48.842168, 2.359933"
7510610,Musée de l'Ecole Nationale Supérieure des Beaux-Arts,2020,ILE-DE-France,PARIS,4996,3664,8660,M5051,PARIS,M5051,14 rue Bonaparte,75006,beauxartsparis.fr/fr/collection/presentation,48.845748,2.33167,"48.845748, 2.33167"
7510610,Musée de l'Ecole Nationale Supérieure des Beaux-Arts,2019,ILE-DE-France,PARIS,0,59113,59113,M5051,PARIS,M5051,14 rue Bonaparte,75006,beauxartsparis.fr/fr/collection/presentation,48.845748,2.33167,"48.845748, 2.33167"
7510802,Musée de la Musique,2020,ILE-DE-France,PARIS,84463,30056,114519,M5057,PARIS,M5057,"221, avenue Jean-Jaurès",75019,philharmoniedeparis.fr/fr/musee-de-la-musique,48.889306,2.393807,"48.889306, 2.393807"
7510802,Musée de la Musique,2019,ILE-DE-France,PARIS,316089,96940,413029,M5057,PARIS,M5057,"221, avenue Jean-Jaurès",75019,philharmoniedeparis.fr/fr/musee-de-la-musique,48.889306,2.393807,"48.889306, 2.393807"
7511616,Maison de Balzac,2020,ILE-DE-France,PARIS,9311,11882,21193,M1102,PARIS,M1102,47 rue Raynouard,75016,www.maisondebalzac.paris.fr/,48.855398,2.280805,"48.855398, 2.280805"
7511616,Maison de Balzac,2019,ILE-DE-France,PARIS,9019,19265,28284,M1102,PARIS,M1102,47 rue Raynouard,75016,www.maisondebalzac.paris.fr/,48.855398,2.280805,"48.855398, 2.280805"
7511619,Musée Yves Saint Laurent,2020,ILE-DE-France,PARIS,12569,1854,14423,M1204,PARIS,M1204,5 avenue Marceau,75116,museeyslparis.com/,48.873694,2.280339,"48.873694, 2.280339"
